iter	Passed	Remaining
0	1	149
1	3	182
2	5	176
3	6	163
4	8	158
5	9	149
6	11	146
7	12	144
8	13	141
9	15	142
10	17	142
11	19	140
12	20	138
13	22	136
14	23	135
15	25	134
16	27	132
17	29	133
18	30	132
19	32	130
20	33	127
21	35	125
22	37	124
23	38	122
24	40	121
25	42	121
26	44	119
27	45	117
28	47	116
29	49	114
30	50	112
31	52	110
32	54	111
33	56	109
34	58	107
35	59	106
36	61	104
37	63	102
38	64	101
39	66	99
40	68	99
41	69	96
42	71	94
43	72	92
44	73	90
45	75	88
46	76	86
47	78	84
48	80	83
49	81	81
50	83	80
51	84	78
52	86	76
53	87	74
54	88	72
55	90	70
56	91	68
57	93	67
58	94	65
59	96	64
60	97	62
61	99	60
62	101	59
63	102	57
64	103	55
65	105	54
66	107	52
67	109	51
68	111	49
69	112	48
70	114	46
71	115	45
72	117	43
73	118	41
74	120	40
75	122	38
76	123	36
77	125	35
78	126	33
79	127	31
80	129	30
81	131	28
82	132	27
83	134	25
84	136	24
85	137	22
86	139	20
87	140	19
88	142	17
89	143	15
90	144	14
91	147	12
92	148	11
93	150	9
94	151	7
95	152	6
96	154	4
97	155	3
98	156	1
99	158	0
